2026-04-25T08:05:44.405Z project guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-04-25T08:07:27.435Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T08:09:44.039Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T08:09:44.086Z JOY-0112-B2 item.created "Merkle-DAG event log for integrity and mergeability" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:37:55.523Z project guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-04-25T13:39:03.225Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:40:26.222Z JOY-0113-17 item.created "CLI commands consolidation" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:40:41.437Z JOY-0114-F9 item.created "Unified FilterArgs across listing views" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:40:50.592Z JOY-0115-8B item.created "Members filter and milestone short flag rebinding" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:41:54.709Z JOY-0116-81 item.created "Apply unified filters to joy board" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:42:01.006Z JOY-0117-82 item.created "Member ID completion across all commands" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:42:07.919Z JOY-0118-DD item.created "Item ID completion with prefix matching" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:42:14.829Z JOY-0119-32 item.created "help subcommand on every command" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:42:22.101Z JOY-011A-77 item.created "joy ls -c silently accepts unknown column keys" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:50:52.765Z JOY-0114-F9 comment.added "Plan: (1) New joy_core::filter module with FilterSpec data struct and apply() function; move effective_milestone and is_descendant from joy-cli/ls.rs into it. (2) New joy_cli::commands::filter_args module with FilterArgs (clap Args) and to_spec(identity) -> Result<FilterSpec>; --mine resolves to populating spec.members with the current identity. (3) LsArgs replaces inline filter fields with #[command(flatten)] FilterArgs and uses joy_core::filter::apply() in place of the inline filter loop. (4) Unit tests in joy-core for every filter dimension. (5) Scope clarification: BoardArgs is intentionally NOT modified in this story to preserve the no-UX-change contract; the BoardArgs flatten plus filter application live in JOY-0116-81." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T13:50:52.789Z JOY-0114-F9 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:02:22.300Z JOY-0114-F9 comment.added "[x] Added joy_core::filter module with FilterSpec, apply(), effective_milestone, is_descendant. [x] Added joy_cli::commands::filter_args::FilterArgs with to_spec() resolving --mine to the git user email (full identity resolution deferred to JOY-0115-8B). [x] LsArgs now embeds FilterArgs via #[command(flatten)]; the inline filter loop is replaced by joy_core::filter::apply. [x] 13 unit tests in joy-core/filter.rs cover every dimension including milestone inheritance, descendant traversal, and the closed/deferred default-hide rule. [x] cargo test --workspace green (268 lib tests + 38+2 others). [x] joy ls/roadmap manual smoke tests show identical output to pre-refactor. [x] Net diff: -188/+24 lines, plus +175 lines for the new filter module and tests. [!] Pre-existing clippy lib-test errors in auth/attestation.rs and guard.rs are unrelated and predate this work; flagged separately." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:02:22.317Z JOY-0114-F9 item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:03:40.166Z JOY-0115-8B comment.added "Plan: (1) FilterSpec.members becomes a MemberFilter enum (Any/Specific(Vec<String>)/Unassigned/AnyAssigned). (2) FilterArgs surface change: --mine becomes long-only; -M is rebound to milestone (BREAKING from previous --mine binding); -m/--members <SPEC> is added with comma-separated values. (3) Special tokens parsed in FilterArgs::to_spec(root): 'me' resolves via identity::resolve_identity + that human's ai_delegations keys; 'none'/'unassigned' map to MemberFilter::Unassigned; '*' to AnyAssigned; mixing 'none'/'*' with other tokens errors. (4) ExtraColumns::from_args accepts 'members' as an alias for 'assignee'. (5) Unit tests in joy-core/filter.rs for each enum variant and the assignee-aliasing. (6) Manual integration check: -m horst.schwarz@joydev.com, -m me, -m none, -m '*', --mine, -M JOY-MS-01. (7) Note: AI delegation expansion only kicks in when 'me' resolves to a human; AI sessions resolve to their own AI member ID directly so -m me from an AI session matches that AI's items only." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:03:40.192Z JOY-0115-8B item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:06:54.829Z JOY-0115-8B comment.added "[x] FilterSpec.members is now a MemberFilter enum (Any/Specific/Unassigned/AnyAssigned). [x] Added -m, --members <SPEC> with comma-separated values; tokens 'me', 'none'/'unassigned', and '*' parsed in FilterArgs::to_spec. [x] BREAKING: -m short flag now binds to milestone; previous -m for milestone moves to -M; --mine becomes long-only. [x] --mine resolves symmetrically: returns the human ID, the AI ID (if any), and all sibling AIs the human has delegated to. [x] -c columns accepts 'members' as alias for 'assignee'. [x] 9 unit tests for token parsing in filter_args.rs; 4 unit tests for MemberFilter variants in joy-core/filter.rs; full suite green. [x] Manual smoke checks: -M JOY-MS-01, -m horst.schwarz@joydev.com, -m none, -m '*', --mine, -c members all behave as designed. [!] CHANGELOG entry not added: joy has no CHANGELOG file; release notes are derived from closed items per JOY-003D. The 'BREAKING' marker is in the conventional-commit footer instead." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-25T14:06:54.846Z JOY-0115-8B item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
